PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
632,20.70%,9.80%,0.187,1.6,20.50%,35.70%,43.80%,6.30%,11.10%,14.70%,50.60%,34.70%,46.20%,31.50%,63.60%,64.00%,92.10%,-4.7,21,0.272,0.345,0.458,0.348,107,-2.7,1.9
635,22.40%,8.30%,0.166,2,23.00%,42.40%,34.60%,4.70%,14.00%,18.90%,48.60%,32.50%,51.70%,34.30%,74.50%,63.50%,85.60%,-23.6,21,0.282,0.346,0.448,0.348,120,-4.9,0.6
192,12.00%,8.30%,0.163,1.8,24.50%,36.40%,39.20%,14.30%,8.90%,22.00%,53.30%,24.70%,40.10%,20.20%,58.50%,78.30%,88.90%,-0.4,5,0.277,0.349,0.44,0.347,110,0.1,0.9
138,10.90%,5.80%,0.203,2.9,11.50%,41.60%,46.90%,5.70%,11.30%,20.20%,48.30%,31.60%,48.40%,34.40%,65.50%,77.70%,93.20%,-1.7,6,0.281,0.328,0.484,0.347,113,1.6,0.7
481,17.70%,16.00%,0.166,2.4,16.00%,47.60%,36.40%,15.50%,12.10%,17.90%,47.00%,35.10%,40.10%,21.50%,60.90%,58.90%,88.90%,-5.6,14,0.248,0.368,0.413,0.347,114,-1.5,1.7
126,16.70%,4.80%,0.185,1.4,11.20%,46.90%,41.80%,9.80%,9.80%,20.40%,44.90%,34.70%,48.90%,36.30%,64.20%,59.00%,87.60%,-2.2,4,0.294,0.333,0.479,0.346,109,-3.4,0
601,23.00%,12.00%,0.176,2.8,16.40%,43.10%,40.50%,7.60%,12.00%,15.90%,48.70%,35.40%,41.40%,27.60%,58.40%,58.80%,85.40%,-0.5,19,0.264,0.351,0.44,0.346,116,-1.4,2.9
641,15.30%,7.30%,0.168,1.6,22.80%,38.20%,39.00%,6.70%,11.40%,12.90%,51.30%,35.80%,50.80%,36.40%,68.70%,69.60%,88.80%,-5.5,22,0.293,0.342,0.461,0.346,124,-3.7,2.9
649,34.20%,16.20%,0.263,2,22.40%,34.00%,43.60%,8.60%,29.30%,13.40%,47.70%,38.90%,40.70%,23.40%,61.70%,48.10%,79.80%,-12.5,41,0.204,0.333,0.468,0.346,115,-2,2
644,32.00%,11.80%,0.277,2.9,19.50%,31.70%,48.70%,9.30%,23.80%,14.50%,45.00%,40.50%,43.80%,25.20%,66.90%,39.50%,76.40%,-16.9,41,0.222,0.321,0.499,0.346,112,-4.1,1
685,16.20%,5.80%,0.204,3.3,21.00%,34.20%,44.80%,13.20%,12.30%,19.90%,48.10%,32.10%,50.90%,36.70%,67.10%,67.80%,89.70%,-4.1,29,0.277,0.327,0.481,0.346,107,2.5,2.6
367,24.00%,6.30%,0.248,2,18.40%,38.80%,42.70%,6.40%,18.30%,15.30%,47.50%,37.30%,53.90%,43.30%,68.30%,59.20%,83.90%,-2.3,20,0.274,0.319,0.522,0.346,112,0.7,1.6
221,25.30%,13.60%,0.126,1.9,17.80%,46.70%,35.60%,4.20%,6.30%,14.80%,54.10%,31.10%,34.50%,14.20%,53.10%,47.80%,88.60%,1.5,3,0.279,0.376,0.405,0.346,124,-2,1.3
684,16.10%,6.10%,0.164,2.4,24.10%,40.30%,35.60%,9.10%,9.60%,16.70%,49.90%,33.40%,51.40%,35.40%,69.00%,75.80%,87.20%,2.4,18,0.299,0.344,0.463,0.346,116,-3.4,3.6
313,25.90%,6.10%,0.19,1.8,24.80%,42.90%,32.40%,8.80%,17.60%,22.40%,39.10%,38.60%,48.10%,34.80%,61.30%,58.70%,79.80%,-10,12,0.276,0.326,0.466,0.345,123,-3.2,0.5
643,15.70%,8.90%,0.175,4,17.10%,36.80%,46.10%,7.80%,8.70%,16.70%,49.00%,34.40%,48.30%,31.70%,64.00%,68.30%,90.60%,-10,19,0.273,0.341,0.448,0.345,111,-0.5,1.8
524,15.80%,10.30%,0.224,2.8,19.50%,41.10%,39.50%,8.70%,16.00%,12.90%,52.90%,34.20%,40.30%,25.70%,57.20%,73.30%,89.90%,1.4,24,0.251,0.332,0.475,0.345,116,-1.4,2.8
564,11.00%,3.90%,0.187,2.8,18.60%,46.20%,35.20%,12.70%,10.80%,15.90%,49.10%,35.10%,48.10%,31.40%,66.60%,68.20%,91.10%,-14.7,18,0.299,0.332,0.486,0.344,118,0.9,1.8
167,24.60%,4.20%,0.21,5.7,14.40%,53.40%,32.20%,13.20%,15.80%,21.20%,50.00%,28.80%,54.40%,40.20%,70.60%,53.00%,79.20%,-4.1,6,0.287,0.317,0.497,0.344,104,0.7,0.3
245,24.10%,8.60%,0.262,2,17.00%,49.10%,33.90%,5.40%,30.40%,11.50%,50.90%,37.60%,46.30%,34.50%,60.40%,54.00%,88.30%,-5.4,17,0.249,0.31,0.511,0.344,98,-2.1,0
630,18.40%,11.70%,0.149,2.4,22.60%,44.30%,33.00%,3.50%,10.50%,12.20%,58.30%,29.50%,41.30%,20.10%,62.30%,55.10%,88.90%,-7.6,15,0.27,0.358,0.419,0.344,108,-4.6,1.6
394,19.80%,8.10%,0.229,5,20.40%,48.60%,31.00%,8.00%,18.20%,12.30%,53.20%,34.50%,48.10%,35.30%,60.60%,62.50%,87.80%,-6.2,16,0.26,0.317,0.489,0.344,99,-0.8,0.5
218,11.50%,7.80%,0.07,1.8,27.60%,37.90%,34.50%,6.70%,0.00%,14.40%,59.20%,26.40%,44.80%,28.80%,61.30%,76.60%,94.60%,-6.4,0,0.322,0.381,0.392,0.343,104,-2.9,-0.1
321,17.40%,11.80%,0.211,1.6,21.70%,43.80%,34.50%,6.40%,19.20%,15.40%,49.30%,35.20%,44.20%,34.50%,57.20%,69.00%,84.50%,-3.3,15,0.264,0.349,0.475,0.343,115,-0.1,1.3
643,12.60%,7.30%,0.154,2.2,21.40%,36.00%,42.60%,12.40%,7.40%,15.70%,54.60%,29.70%,45.40%,31.20%,61.20%,73.70%,91.90%,-12.8,16,0.289,0.345,0.443,0.343,106,-2.9,1
626,21.40%,11.70%,0.168,1.9,22.50%,39.80%,37.60%,1.30%,12.10%,12.00%,45.80%,42.20%,41.80%,24.90%,59.60%,66.50%,84.30%,-7.2,19,0.26,0.347,0.428,0.343,109,-5,1.4
563,14.60%,6.00%,0.172,4.4,18.70%,49.70%,31.70%,11.30%,13.50%,28.30%,44.60%,27.10%,49.20%,37.30%,62.70%,74.30%,86.10%,-20.3,19,0.293,0.334,0.465,0.343,113,3,1
260,16.50%,11.20%,0.189,2.8,17.60%,36.90%,45.50%,7.10%,8.20%,16.60%,51.90%,31.60%,41.30%,22.20%,60.20%,50.00%,93.00%,1.7,7,0.264,0.346,0.454,0.343,98,-2.6,0.7
514,15.60%,12.60%,0.199,2.7,21.50%,40.60%,37.80%,13.90%,16.10%,15.80%,53.90%,30.40%,43.40%,23.70%,62.90%,60.30%,87.90%,-9.3,22,0.24,0.344,0.438,0.343,104,-7.1,0.4
222,21.20%,15.80%,0.153,2.4,20.10%,31.30%,48.50%,4.60%,9.20%,9.70%,58.20%,32.10%,42.50%,25.50%,62.40%,57.10%,86.40%,-6.4,6,0.244,0.378,0.398,0.343,97,-0.4,-0.1
645,30.10%,12.10%,0.226,3.7,18.50%,36.40%,45.10%,14.50%,20.50%,19.30%,44.00%,36.70%,44.00%,25.90%,63.40%,57.60%,78.10%,-17.3,34,0.239,0.335,0.465,0.343,113,-5.2,0.9
446,22.60%,7.60%,0.218,0.5,17.20%,48.20%,34.60%,10.30%,21.50%,19.10%,47.30%,33.70%,45.60%,32.90%,63.00%,61.70%,84.90%,-12.9,23,0.262,0.321,0.479,0.343,119,-7,0.4
620,20.80%,10.30%,0.196,3.7,26.00%,37.10%,36.90%,7.70%,14.80%,11.00%,50.20%,38.80%,51.20%,31.70%,75.30%,60.80%,86.20%,-13,23,0.259,0.34,0.456,0.342,115,-1.3,1.7
661,14.70%,11.20%,0.161,2.2,19.80%,35.60%,44.60%,11.20%,8.90%,26.00%,47.90%,26.00%,45.50%,28.90%,63.20%,70.60%,89.80%,-5.1,19,0.266,0.352,0.427,0.342,114,-0.3,2.7
320,23.40%,10.30%,0.199,2.1,20.40%,33.00%,46.60%,8.30%,11.50%,21.10%,45.50%,33.50%,47.10%,28.90%,66.50%,55.30%,87.70%,-7.2,11,0.256,0.338,0.456,0.342,110,-0.8,0.6
347,21.60%,6.30%,0.248,2.2,17.90%,37.00%,45.10%,13.50%,18.90%,20.30%,43.10%,36.60%,50.70%,35.80%,70.40%,65.70%,86.30%,-6,21,0.257,0.308,0.505,0.342,112,-2,0.8
676,23.70%,10.10%,0.202,6.3,21.40%,44.70%,33.90%,6.00%,18.70%,16.70%,49.80%,33.60%,40.70%,26.70%,57.90%,68.80%,86.30%,-4.4,28,0.259,0.336,0.461,0.341,116,7.8,3.9
615,28.00%,7.80%,0.207,2.3,18.20%,37.90%,44.00%,4.70%,14.50%,13.00%,44.90%,42.10%,44.60%,27.30%,62.70%,49.00%,85.30%,-7,25,0.261,0.32,0.468,0.341,104,-7.7,0.8
491,27.50%,12.20%,0.279,0.5,21.00%,30.30%,48.60%,5.70%,21.30%,14.50%,43.50%,42.10%,40.20%,27.00%,57.90%,54.20%,87.80%,-9.5,30,0.217,0.322,0.496,0.341,113,-3.9,1.1
510,26.90%,8.20%,0.23,3.2,19.70%,37.90%,42.30%,3.70%,19.30%,14.10%,49.10%,36.90%,44.00%,24.80%,62.60%,53.20%,76.60%,-1.2,26,0.238,0.316,0.468,0.341,115,-1.3,2.5
653,9.20%,9.00%,0.171,3.1,21.10%,34.80%,44.10%,16.20%,7.70%,27.30%,46.50%,26.20%,43.60%,26.60%,59.80%,78.50%,92.30%,2.5,18,0.275,0.342,0.446,0.341,115,-6.6,2.9
145,15.20%,2.80%,0.164,1.8,29.70%,30.50%,39.80%,12.80%,8.50%,13.60%,53.40%,33.10%,44.10%,25.90%,60.90%,70.20%,93.00%,-5.2,4,0.3,0.324,0.464,0.341,112,-2.7,-0.1
352,14.80%,10.50%,0.152,2.2,24.80%,40.70%,34.50%,4.50%,11.20%,16.30%,54.30%,29.50%,45.10%,29.00%,63.70%,69.20%,91.40%,-10.6,10,0.272,0.358,0.424,0.34,114,-2.2,0.4
665,32.90%,13.20%,0.239,2.3,19.80%,36.50%,43.70%,5.90%,25.00%,12.90%,46.90%,40.30%,42.80%,31.80%,59.30%,51.00%,77.70%,-8.9,38,0.221,0.332,0.459,0.34,112,4.3,2.8
695,10.20%,6.90%,0.194,3.3,18.90%,45.70%,35.40%,12.90%,13.90%,14.50%,49.40%,36.10%,47.90%,31.60%,64.70%,68.70%,94.00%,-7,28,0.272,0.324,0.466,0.34,123,-7.2,2.8
384,26.60%,14.30%,0.192,1.5,19.80%,31.80%,48.40%,7.60%,14.30%,11.90%,46.30%,41.70%,38.00%,24.70%,53.50%,52.60%,81.70%,-16.5,15,0.223,0.352,0.415,0.34,120,0,0.4
580,26.40%,11.60%,0.204,3,21.00%,30.30%,48.70%,9.50%,14.80%,16.30%,50.60%,33.10%,47.00%,28.60%,67.40%,45.70%,86.10%,-11.1,25,0.234,0.334,0.438,0.339,122,2,2.6
152,12.50%,13.80%,0.133,1.7,21.40%,50.00%,28.60%,9.40%,9.40%,22.30%,44.60%,33.00%,44.60%,24.50%,67.50%,66.30%,89.70%,-8.9,3,0.273,0.368,0.406,0.339,112,-1.8,-0.4
472,22.50%,11.40%,0.146,6.1,25.60%,37.90%,36.60%,4.40%,6.20%,10.00%,60.80%,29.10%,50.70%,29.40%,75.40%,50.50%,84.40%,-8.1,7,0.275,0.36,0.421,0.339,119,-0.6,1.7
389,27.50%,11.10%,0.234,4.2,16.50%,38.70%,44.80%,6.80%,19.40%,15.10%,48.70%,36.10%,39.90%,20.70%,58.00%,68.60%,79.10%,-7.5,20,0.234,0.319,0.467,0.339,101,2.1,0.8
380,32.60%,10.30%,0.191,2.6,25.30%,38.70%,35.90%,5.10%,20.50%,10.60%,54.80%,34.60%,46.70%,35.00%,61.20%,58.20%,82.80%,-11.7,16,0.259,0.334,0.45,0.339,110,0,0.5
598,12.90%,7.40%,0.131,2,29.80%,42.20%,27.90%,6.00%,9.80%,14.10%,57.70%,28.30%,46.20%,30.20%,63.60%,81.70%,92.60%,-5,13,0.299,0.348,0.43,0.339,117,-2.3,2.6
400,12.50%,7.30%,0.153,1.5,16.70%,43.50%,39.90%,13.10%,10.70%,21.40%,52.00%,26.60%,47.80%,30.30%,65.90%,70.00%,90.80%,-6.6,13,0.268,0.344,0.421,0.339,105,-2.3,0.7
603,14.40%,8.00%,0.162,3.3,16.10%,46.00%,37.90%,9.00%,8.50%,18.60%,49.90%,31.50%,44.60%,32.70%,58.10%,66.70%,91.40%,-15.9,15,0.28,0.337,0.442,0.339,103,0.5,0.8
354,26.00%,6.50%,0.185,4,22.10%,45.10%,32.80%,6.50%,14.30%,18.60%,49.80%,31.70%,56.70%,41.80%,74.50%,64.20%,77.40%,-3.5,11,0.277,0.326,0.462,0.339,99,0.9,0.8
664,15.10%,6.00%,0.165,3.1,22.30%,37.00%,40.70%,10.40%,9.90%,16.70%,52.20%,31.10%,42.00%,21.90%,60.10%,68.20%,92.30%,-15.8,21,0.286,0.328,0.452,0.338,94,0.2,0.1
333,25.50%,7.80%,0.201,5.4,24.30%,42.70%,33.00%,0.00%,16.70%,5.90%,60.20%,33.90%,49.70%,30.70%,67.60%,59.80%,81.10%,-4.8,12,0.268,0.322,0.468,0.338,94,1,0.5
620,18.90%,10.60%,0.211,3.5,17.70%,51.10%,31.20%,11.80%,19.10%,20.60%,46.80%,32.60%,43.60%,26.20%,65.80%,65.80%,85.90%,-12.1,26,0.255,0.334,0.466,0.338,108,-6.8,0.8
519,22.90%,6.90%,0.266,3.1,17.60%,35.00%,47.40%,10.50%,18.60%,18.50%,48.80%,32.80%,53.60%,38.30%,73.00%,60.40%,83.50%,-26.6,32,0.247,0.299,0.514,0.338,102,-1.6,-1
495,15.60%,14.50%,0.183,1.5,18.10%,43.10%,38.80%,9.80%,13.50%,17.20%,49.00%,33.80%,35.20%,18.10%,51.60%,68.30%,88.70%,-8.7,18,0.236,0.349,0.418,0.338,106,-1.7,1
140,19.30%,17.90%,0.216,2.4,14.90%,37.90%,47.10%,9.80%,17.10%,19.50%,54.00%,26.40%,35.80%,17.40%,55.40%,64.20%,88.60%,-6.1,7,0.198,0.343,0.414,0.338,114,0.3,0.1
334,8.40%,13.20%,0.102,2.3,22.40%,39.40%,38.20%,9.10%,2.00%,12.30%,63.90%,23.90%,41.10%,20.60%,60.60%,86.70%,94.40%,-1.9,2,0.277,0.374,0.379,0.338,103,-2.5,0.8
320,15.90%,13.80%,0.148,1.8,22.70%,36.40%,40.90%,13.30%,7.80%,15.50%,49.10%,35.50%,40.00%,20.70%,59.10%,63.90%,91.60%,-7.3,7,0.254,0.361,0.402,0.338,118,0.4,1
379,14.20%,5.80%,0.156,5.1,19.30%,46.60%,34.10%,9.10%,8.10%,15.70%,55.80%,28.60%,47.70%,29.30%,64.20%,68.30%,88.90%,4.2,8,0.282,0.339,0.438,0.337,106,-1.8,1.7
168,12.50%,8.30%,0.192,4.1,12.20%,42.70%,45.00%,16.90%,13.60%,17.60%,53.40%,29.00%,55.60%,33.90%,77.70%,66.00%,88.90%,-3,8,0.252,0.321,0.444,0.337,112,0.2,0.5
585,36.20%,12.00%,0.227,3,22.40%,30.80%,46.80%,12.10%,20.70%,15.70%,45.20%,39.10%,45.10%,26.00%,65.00%,38.20%,76.80%,-20.9,29,0.223,0.32,0.451,0.337,112,-1.7,0.5
445,16.90%,5.40%,0.189,3.1,19.60%,41.20%,39.20%,14.40%,12.10%,24.90%,42.70%,32.30%,52.40%,38.60%,68.80%,64.40%,88.60%,-4.1,16,0.278,0.325,0.467,0.337,114,-2.8,1.6
563,20.20%,4.60%,0.169,3.6,24.30%,34.50%,41.20%,8.10%,8.70%,16.70%,51.20%,32.10%,52.70%,41.10%,66.90%,67.80%,89.50%,-7.5,15,0.288,0.321,0.457,0.337,116,0,2.1
634,21.80%,12.10%,0.177,2.6,23.10%,38.10%,38.80%,5.00%,13.70%,12.30%,53.30%,34.50%,41.40%,24.50%,58.90%,57.50%,83.20%,-9.8,22,0.246,0.341,0.423,0.336,113,-0.5,2.1
477,23.10%,6.90%,0.179,3.3,22.60%,34.50%,43.00%,2.80%,13.50%,16.80%,54.90%,28.40%,43.60%,28.10%,59.80%,63.80%,86.80%,-7.6,19,0.267,0.325,0.446,0.336,109,-5.1,0.8
335,14.30%,6.90%,0.202,1.8,21.80%,33.20%,45.00%,11.90%,13.60%,20.20%,52.70%,27.10%,48.70%,29.40%,70.90%,73.90%,89.30%,-5.9,16,0.267,0.319,0.469,0.336,112,-4.8,0.5
607,19.40%,8.60%,0.19,2.9,17.70%,38.90%,43.40%,10.90%,13.00%,18.50%,46.20%,35.20%,51.40%,38.00%,69.00%,63.70%,79.00%,-10.8,24,0.258,0.333,0.448,0.336,101,-4.6,0.5
284,20.80%,6.30%,0.229,2.8,14.90%,46.00%,39.10%,15.20%,19.00%,21.30%,42.60%,36.10%,46.20%,27.10%,66.20%,50.30%,85.20%,1.3,15,0.252,0.31,0.481,0.335,113,-1.4,1.4
432,17.10%,10.40%,0.145,3,20.80%,52.10%,27.00%,6.00%,9.60%,23.70%,45.80%,30.50%,40.60%,20.40%,62.50%,68.90%,89.60%,-7.9,8,0.268,0.353,0.413,0.335,109,-5.5,0.5
104,26.00%,8.70%,0.158,3.3,17.60%,55.90%,26.50%,11.10%,16.70%,11.80%,52.90%,35.30%,47.20%,34.00%,65.10%,65.10%,86.00%,0.9,3,0.274,0.337,0.432,0.335,100,0,0.4
649,27.70%,10.80%,0.22,5.3,19.60%,37.50%,42.90%,15.50%,17.90%,19.50%,39.10%,41.40%,43.90%,28.50%,63.30%,61.50%,84.30%,-19.3,30,0.243,0.328,0.464,0.335,109,0.6,0.9
228,24.60%,7.00%,0.189,1.4,26.50%,28.60%,44.90%,7.60%,13.60%,9.40%,60.40%,30.20%,42.50%,28.00%,60.80%,55.90%,85.60%,-5.9,9,0.259,0.33,0.448,0.335,109,0.7,0.5
651,13.10%,6.90%,0.145,4.2,22.10%,43.70%,34.20%,8.50%,7.30%,12.70%,63.10%,24.10%,44.90%,29.60%,61.00%,77.90%,92.10%,-22,13,0.289,0.338,0.434,0.335,102,-5,-0.4
538,29.60%,13.60%,0.208,1.8,20.40%,37.10%,42.50%,9.40%,18.10%,13.70%,51.30%,35.00%,43.20%,22.00%,64.30%,41.80%,77.50%,-21.5,23,0.221,0.335,0.429,0.335,109,-2.7,-0.1
633,18.50%,8.70%,0.15,1.4,26.40%,46.20%,27.50%,4.80%,14.40%,16.20%,51.00%,32.80%,48.60%,33.70%,67.10%,65.20%,87.60%,-11.8,18,0.285,0.349,0.435,0.334,111,-4.9,1.2
357,19.90%,6.40%,0.193,1.9,20.00%,42.30%,37.70%,8.20%,15.30%,11.80%,53.40%,34.70%,48.60%,32.30%,66.00%,59.20%,86.20%,-3.5,15,0.275,0.321,0.468,0.334,105,-3.3,0.8
253,21.70%,10.70%,0.173,5.4,16.90%,47.60%,35.50%,11.90%,13.60%,13.50%,51.80%,34.70%,41.60%,25.90%,58.80%,56.90%,85.70%,-7.7,8,0.253,0.336,0.427,0.334,115,1.2,0.6
492,28.90%,9.10%,0.142,1.6,19.00%,60.70%,20.30%,3.30%,21.70%,16.60%,48.10%,35.30%,44.50%,28.00%,64.00%,58.20%,83.20%,0.9,13,0.27,0.352,0.412,0.334,108,-4.2,1.8
317,30.00%,7.30%,0.199,2.7,23.90%,38.60%,37.60%,0.00%,14.90%,7.60%,48.70%,43.70%,49.40%,34.10%,68.90%,42.70%,79.40%,-6.5,11,0.266,0.319,0.465,0.334,111,-3,0.4
460,22.00%,6.70%,0.192,3,17.80%,36.20%,46.00%,8.00%,11.30%,18.10%,47.90%,34.10%,54.40%,38.30%,73.90%,60.00%,89.80%,-15.6,17,0.265,0.317,0.458,0.334,97,-3.4,-0.5
563,15.30%,8.00%,0.131,1.8,20.10%,38.60%,41.20%,13.40%,8.10%,20.40%,52.50%,27.10%,44.20%,23.40%,62.90%,65.20%,90.60%,-17.7,14,0.273,0.346,0.404,0.333,102,-5.6,-0.2
661,10.90%,7.60%,0.236,2.7,15.90%,41.80%,42.20%,9.80%,17.80%,15.80%,51.20%,33.00%,46.20%,30.30%,63.80%,74.00%,91.60%,-10.2,40,0.244,0.307,0.48,0.333,114,-4.9,1.8
601,24.80%,7.80%,0.239,4.9,18.50%,44.80%,36.80%,9.50%,20.40%,22.60%,42.30%,35.10%,49.10%,33.20%,67.60%,65.00%,81.60%,-10.9,30,0.243,0.304,0.482,0.333,111,1.6,2
491,26.70%,9.80%,0.227,2.4,20.40%,52.80%,26.90%,7.20%,32.50%,18.10%,44.20%,37.70%,46.90%,29.50%,68.80%,46.80%,83.90%,-22.6,27,0.243,0.318,0.469,0.333,112,1.8,0.1
608,21.50%,11.00%,0.189,2.9,16.00%,45.10%,38.90%,3.80%,12.70%,9.10%,54.40%,36.50%,42.30%,23.40%,63.10%,50.40%,87.00%,-11.9,20,0.243,0.329,0.433,0.332,105,-1.2,1.1
483,20.70%,13.00%,0.16,1.1,15.50%,39.90%,44.60%,5.70%,11.30%,13.00%,45.30%,41.80%,42.00%,22.20%,61.30%,56.70%,82.70%,-16.8,16,0.24,0.344,0.4,0.332,104,-0.7,0
652,10.40%,10.70%,0.118,3.6,22.10%,42.80%,35.20%,8.90%,7.20%,14.80%,63.90%,21.30%,41.20%,26.50%,57.00%,78.70%,93.90%,-10.3,13,0.281,0.357,0.399,0.332,103,-0.9,1.2
607,31.10%,12.50%,0.223,1.1,19.50%,38.30%,42.20%,4.90%,23.80%,11.50%,48.70%,39.80%,40.60%,25.40%,58.60%,47.20%,81.20%,-20.9,34,0.219,0.32,0.442,0.331,107,-1.4,0.3
521,22.80%,12.30%,0.174,0.9,19.60%,34.80%,45.50%,9.80%,13.10%,12.50%,51.20%,36.30%,44.50%,28.10%,63.80%,63.20%,86.00%,-13.9,20,0.238,0.334,0.412,0.331,112,-4.4,0.7
362,14.90%,4.70%,0.217,2.4,18.40%,35.80%,45.80%,10.60%,13.60%,16.30%,48.30%,35.40%,51.80%,33.00%,72.10%,78.10%,89.10%,-2.9,18,0.271,0.307,0.488,0.331,106,-2.6,0.9
105,14.30%,9.50%,0.172,0.3,16.50%,35.40%,48.10%,15.80%,7.90%,19.00%,49.40%,31.70%,48.80%,32.50%,68.10%,73.40%,92.00%,2.3,3,0.269,0.343,0.441,0.331,107,-0.6,0.6
584,24.10%,10.40%,0.235,1.3,21.10%,38.90%,40.00%,11.80%,21.10%,18.10%,43.00%,38.90%,44.60%,30.30%,60.80%,59.60%,83.10%,-13.5,32,0.227,0.308,0.462,0.331,111,-2.9,1
666,18.30%,16.20%,0.164,3.9,18.30%,44.50%,37.10%,18.80%,11.90%,21.90%,48.30%,29.80%,36.70%,19.20%,56.60%,65.50%,89.20%,-8.3,19,0.231,0.357,0.395,0.331,107,1.3,2.1
141,20.60%,9.90%,0.122,4.5,23.70%,32.30%,44.10%,7.30%,4.90%,16.80%,51.60%,31.60%,39.60%,20.30%,59.80%,54.20%,94.00%,-0.6,2,0.26,0.35,0.382,0.331,95,1.3,0.4
328,26.20%,8.80%,0.243,2.4,23.70%,42.70%,33.60%,9.90%,25.40%,13.30%,50.20%,36.50%,42.50%,27.00%,62.60%,51.30%,85.50%,-4.1,18,0.226,0.299,0.47,0.331,108,-3.7,0.6
327,24.80%,7.60%,0.222,1.4,19.80%,31.80%,48.40%,6.70%,15.20%,14.60%,48.90%,36.50%,50.90%,39.90%,66.70%,63.80%,86.30%,-4.4,16,0.249,0.309,0.471,0.331,106,-2.7,0.6
278,10.40%,7.20%,0.125,2.9,17.60%,52.80%,29.60%,7.80%,3.10%,13.00%,68.60%,18.40%,43.70%,25.00%,59.00%,89.90%,91.80%,-11.4,2,0.274,0.342,0.399,0.33,96,0.2,-0.3
505,12.10%,4.40%,0.112,4.3,26.40%,42.40%,31.20%,10.80%,3.80%,13.60%,59.90%,26.50%,47.80%,31.50%,62.90%,73.60%,93.50%,-13.9,5,0.309,0.341,0.421,0.33,90,-1.6,-0.6
235,27.20%,7.70%,0.206,3.4,18.00%,38.00%,44.00%,9.10%,18.20%,15.90%,54.30%,29.80%,51.80%,29.50%,73.90%,56.30%,79.70%,-1.9,12,0.243,0.306,0.449,0.33,115,-1.7,0.8
570,17.90%,8.60%,0.172,2.6,21.80%,41.40%,36.80%,6.60%,12.50%,15.30%,53.50%,31.20%,54.00%,37.30%,72.70%,67.90%,85.20%,-18,19,0.267,0.333,0.44,0.33,107,-5.7,0
411,16.50%,11.20%,0.141,4.8,13.70%,47.40%,38.90%,11.40%,5.30%,14.20%,51.00%,34.80%,43.40%,23.90%,67.10%,71.10%,89.10%,-1.7,6,0.26,0.344,0.401,0.33,94,-0.8,0.8
675,13.80%,8.60%,0.146,4.8,17.30%,49.80%,32.90%,9.90%,8.20%,16.90%,50.20%,32.90%,47.00%,32.80%,61.50%,68.10%,91.30%,-25.8,14,0.271,0.336,0.417,0.33,103,-0.7,-0.1
443,12.40%,9.00%,0.179,1.7,19.80%,38.20%,42.00%,11.10%,11.80%,12.80%,51.00%,36.20%,46.80%,30.40%,64.90%,67.90%,89.90%,-10.6,17,0.258,0.33,0.437,0.329,112,-4.9,0.6
287,13.60%,5.60%,0.152,3.1,19.60%,33.00%,47.40%,8.30%,8.30%,13.40%,53.70%,32.90%,41.00%,27.80%,54.60%,77.40%,93.00%,-2.6,9,0.279,0.321,0.431,0.329,115,1.7,1.4
478,21.80%,10.00%,0.189,3.4,19.50%,35.60%,44.90%,8.30%,11.00%,19.50%,50.80%,29.70%,47.60%,32.70%,66.10%,66.20%,81.50%,-7.8,16,0.243,0.321,0.433,0.329,109,-2.7,1
464,30.40%,8.40%,0.259,3.9,20.40%,27.00%,52.60%,8.30%,19.40%,19.10%,40.80%,40.10%,51.10%,35.60%,69.60%,46.40%,80.00%,-4,28,0.225,0.3,0.484,0.329,105,0.3,1.4
586,22.50%,10.20%,0.133,4.3,24.90%,43.50%,31.70%,6.60%,9.90%,17.10%,53.00%,30.00%,44.40%,27.40%,62.80%,54.70%,85.90%,-4.6,12,0.273,0.352,0.406,0.329,104,1,1.9
370,20.00%,4.30%,0.163,3.3,22.70%,44.30%,33.00%,14.90%,13.80%,19.50%,48.70%,31.80%,50.00%,37.30%,64.60%,60.80%,88.80%,0.6,12,0.279,0.317,0.442,0.329,111,-1.7,1.7
473,19.00%,14.20%,0.111,1.6,22.60%,34.10%,43.30%,2.90%,5.90%,15.90%,51.00%,33.10%,39.60%,20.80%,58.20%,74.50%,86.20%,-9,8,0.256,0.362,0.367,0.329,88,-3.7,-0.5
390,20.30%,8.50%,0.217,2.8,16.60%,48.40%,35.00%,4.10%,16.50%,14.40%,48.00%,37.60%,41.20%,30.10%,53.70%,65.70%,89.20%,-9,16,0.249,0.308,0.465,0.329,106,-0.3,0.6
190,26.80%,6.80%,0.173,3.4,19.70%,50.80%,29.50%,2.80%,16.70%,24.40%,40.70%,35.00%,57.80%,39.00%,78.10%,54.90%,75.70%,-4,6,0.266,0.326,0.439,0.328,102,0,0.3
582,11.50%,7.20%,0.128,2.9,22.40%,40.50%,37.10%,6.30%,6.90%,22.70%,59.30%,18.00%,46.50%,32.20%,63.40%,78.30%,94.20%,-6.4,12,0.288,0.339,0.416,0.328,110,1.5,2.1
