PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
629,19.20%,10.50%,0.181,2.8,26.70%,38.20%,35.20%,2.60%,15.00%,9.20%,53.10%,37.70%,54.70%,35.80%,79.90%,67.80%,83.30%,-8.7,23,0.319,0.396,0.501,0.387,150,1.4,5
668,13.60%,12.40%,0.216,5.2,18.00%,44.80%,37.20%,13.90%,14.40%,16.90%,47.80%,35.30%,41.50%,29.80%,55.20%,70.80%,90.60%,-1.3,26,0.29,0.385,0.506,0.387,144,1.1,5.8
639,13.90%,12.10%,0.217,1.1,22.40%,37.00%,40.60%,7.90%,16.40%,16.60%,53.80%,29.70%,43.30%,24.10%,62.00%,63.20%,90.10%,-13.9,31,0.3,0.388,0.517,0.384,139,-10.7,2.7
701,15.00%,11.10%,0.234,4.9,21.80%,34.60%,43.60%,10.40%,14.60%,17.80%,49.00%,33.20%,46.30%,32.50%,65.80%,71.10%,91.50%,-8.9,31,0.278,0.387,0.512,0.384,145,1.9,5.4
668,18.70%,14.10%,0.232,3.6,17.90%,44.40%,37.60%,14.50%,20.50%,20.20%,39.00%,40.80%,46.90%,27.30%,71.10%,55.00%,85.60%,-16.4,34,0.278,0.386,0.51,0.384,131,-3.4,2.8
685,17.10%,8.80%,0.211,2.3,24.80%,40.00%,35.20%,5.60%,14.00%,10.50%,44.60%,45.00%,50.60%,34.30%,69.50%,61.40%,89.70%,-9.2,25,0.313,0.371,0.524,0.384,148,-2.4,5.1
651,8.90%,9.40%,0.242,3.9,17.00%,44.70%,38.30%,10.40%,18.30%,20.60%,48.90%,30.50%,44.70%,29.50%,61.60%,74.00%,93.10%,-11.6,37,0.299,0.366,0.541,0.384,147,-6.4,4
107,29.00%,9.30%,0.219,1.2,29.20%,40.00%,30.80%,15.00%,25.00%,15.40%,49.20%,35.40%,48.90%,38.70%,63.40%,45.80%,77.50%,-2.8,5,0.302,0.374,0.521,0.383,149,-1.1,0.6
705,21.30%,15.60%,0.192,5.7,24.70%,46.50%,28.80%,14.30%,19.00%,14.20%,48.30%,37.50%,39.10%,22.80%,57.70%,69.80%,83.60%,-10.4,24,0.297,0.411,0.489,0.382,133,5.4,4.7
243,27.60%,9.10%,0.227,4.5,24.30%,41.40%,34.20%,3.80%,17.30%,11.80%,48.00%,40.10%,41.90%,26.80%,57.50%,65.90%,83.80%,-7.9,9,0.296,0.362,0.523,0.382,138,1.3,1.3
462,18.40%,12.80%,0.293,2.1,18.90%,38.80%,42.30%,9.10%,23.50%,16.70%,48.10%,35.30%,43.20%,24.20%,66.30%,60.10%,88.60%,-7.7,31,0.255,0.357,0.548,0.381,143,-2.9,2.9
714,19.30%,16.00%,0.209,1.7,17.90%,42.40%,39.70%,11.40%,18.30%,17.00%,43.80%,39.20%,43.30%,28.70%,61.60%,59.50%,86.30%,-20.2,32,0.261,0.401,0.471,0.381,136,-6.6,2.7
360,26.70%,6.10%,0.198,3.9,25.20%,47.90%,26.90%,9.40%,23.40%,16.40%,52.10%,31.50%,50.20%,31.30%,71.20%,54.70%,79.10%,-19.9,15,0.321,0.367,0.52,0.381,143,-1.7,0.8
