PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing% (pi),O-Swing% (pi),Z-Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
370,22.20%,8.40%,0.164,1.4,24.50%,42.20%,33.30%,5.10%,15.20%,18.10%,44.70%,37.10%,48.20%,27.90%,70.50%,63.50%,84.60%,3.3,12,0.281,0.378,0.445,0.358,120,0.3,2.5
113,14.20%,11.50%,0.17,2.4,24.10%,41.00%,34.90%,13.80%,10.30%,19.10%,53.60%,27.40%,47.50%,32.50%,66.00%,63.50%,86.90%,-2.2,3,0.29,0.372,0.46,0.358,126,0.8,0.6
162,25.30%,6.80%,0.13,4.2,25.70%,43.80%,30.50%,3.10%,6.30%,8.60%,56.20%,35.20%,40.70%,20.50%,63.20%,44.10%,86.60%,2.7,2,0.301,0.37,0.432,0.358,130,-1.8,1.3
166,26.50%,9.60%,0.209,6.8,17.30%,44.20%,38.50%,0.00%,15.00%,18.90%,36.80%,44.30%,49.00%,31.60%,67.50%,52.70%,79.60%,4.1,6,0.284,0.352,0.493,0.358,117,2.1,1.5
451,22.00%,13.10%,0.206,2.8,18.50%,43.00%,38.50%,4.50%,16.40%,14.70%,50.00%,35.30%,39.60%,19.80%,58.80%,56.30%,85.70%,-7.7,18,0.248,0.357,0.454,0.357,119,-4,1.5
595,11.80%,10.10%,0.156,2.1,19.90%,47.30%,32.80%,5.30%,10.00%,13.10%,54.30%,32.60%,40.00%,23.30%,57.00%,76.70%,91.40%,8.2,15,0.294,0.371,0.45,0.357,135,-4.4,4.8
426,23.20%,5.90%,0.26,3.1,17.30%,46.20%,36.50%,10.90%,25.50%,13.30%,51.20%,35.60%,49.80%,35.30%,65.60%,59.30%,78.00%,-3.9,28,0.27,0.312,0.53,0.356,107,-1.7,1.2
308,24.00%,7.10%,0.189,4.4,21.20%,41.30%,37.50%,7.70%,11.50%,18.80%,53.90%,27.40%,47.80%,28.80%,64.80%,52.10%,90.40%,9.2,9,0.288,0.347,0.477,0.356,132,0.8,3.3
268,18.30%,8.60%,0.218,1.9,21.40%,37.00%,41.70%,16.30%,15.00%,17.70%,53.10%,29.20%,46.80%,27.70%,66.40%,57.70%,86.90%,3.9,12,0.268,0.34,0.485,0.355,130,0.1,2.3
435,36.80%,9.00%,0.258,1.9,22.40%,32.00%,45.60%,12.50%,24.00%,17.50%,43.90%,38.60%,49.50%,32.10%,68.00%,46.60%,72.50%,9.3,25,0.251,0.331,0.509,0.355,126,-1.7,3.6
113,16.80%,8.80%,0.235,7,17.70%,41.80%,40.50%,3.10%,15.60%,14.50%,60.20%,25.30%,39.90%,24.30%,54.50%,64.70%,89.30%,0.4,5,0.255,0.33,0.49,0.353,120,1.2,0.8
518,8.50%,6.40%,0.16,2.6,19.60%,44.90%,35.50%,10.40%,9.10%,24.10%,50.90%,25.00%,51.00%,32.70%,68.60%,81.10%,92.60%,14.3,14,0.305,0.349,0.465,0.353,126,-6.2,4.2
553,17.50%,8.50%,0.187,2.3,21.90%,42.20%,35.90%,7.00%,12.60%,21.20%,49.60%,29.20%,51.40%,34.20%,70.90%,68.40%,86.60%,14,18,0.282,0.351,0.469,0.353,118,-6.2,3.9
471,10.80%,12.10%,0.133,5,17.90%,54.50%,27.60%,1.00%,7.20%,11.40%,51.70%,36.90%,38.40%,25.50%,52.00%,75.80%,92.90%,7.6,7,0.293,0.382,0.426,0.352,114,1.4,3.3
401,24.20%,5.50%,0.23,1.5,16.80%,38.70%,44.50%,9.80%,18.00%,16.40%,44.90%,38.70%,53.10%,40.10%,69.30%,61.50%,82.10%,0,22,0.263,0.317,0.493,0.352,125,-3.1,2.2
103,15.50%,13.60%,0.106,2.8,15.90%,49.30%,34.80%,8.30%,8.30%,12.90%,58.60%,28.60%,36.00%,17.90%,52.70%,72.50%,93.70%,0.5,2,0.271,0.392,0.376,0.352,126,-0.6,0.7
352,13.90%,8.20%,0.131,1.3,19.60%,51.70%,28.70%,9.20%,9.20%,14.90%,51.30%,33.80%,47.50%,27.80%,65.80%,70.20%,91.50%,9.1,7,0.297,0.364,0.428,0.351,114,-1.8,2.5
520,15.00%,5.40%,0.223,2.9,22.20%,42.00%,35.80%,9.70%,18.60%,19.20%,52.20%,28.60%,57.50%,42.30%,74.30%,74.20%,90.00%,6.7,27,0.278,0.326,0.501,0.351,119,-1.7,3.5
658,20.20%,14.70%,0.217,3.3,15.40%,44.70%,40.00%,17.20%,16.00%,25.10%,43.70%,31.20%,37.60%,19.20%,56.10%,58.40%,84.10%,-5.9,27,0.239,0.351,0.457,0.351,124,-2.4,3.3
279,21.10%,7.90%,0.198,3.5,20.60%,41.80%,37.60%,8.20%,12.30%,18.60%,40.20%,41.20%,41.20%,24.50%,64.50%,69.20%,83.70%,9.1,9,0.274,0.341,0.472,0.351,109,-0.1,2.1
457,25.40%,14.00%,0.249,1.9,16.10%,44.70%,39.20%,11.20%,25.20%,17.50%,43.60%,38.90%,39.20%,25.30%,57.20%,55.90%,84.90%,7.3,27,0.228,0.339,0.477,0.35,121,-5.5,2.9
527,16.90%,10.80%,0.195,1.6,15.60%,37.70%,46.70%,8.50%,13.60%,20.60%,45.70%,33.80%,46.00%,30.40%,63.00%,69.90%,88.90%,10.6,24,0.27,0.351,0.466,0.35,122,-3.9,3.8
650,12.80%,13.80%,0.116,3.9,19.40%,51.10%,29.60%,12.90%,9.40%,15.50%,58.10%,26.50%,39.80%,19.90%,59.20%,63.50%,90.10%,16.6,13,0.28,0.385,0.396,0.35,112,1.4,4.9
417,30.00%,13.40%,0.241,3.2,19.20%,39.70%,41.00%,7.40%,25.50%,10.50%,55.90%,33.60%,40.60%,21.00%,60.60%,59.80%,74.80%,-1.3,24,0.227,0.343,0.469,0.349,116,-1,2
470,29.60%,9.10%,0.193,3.5,28.60%,32.80%,38.70%,9.00%,12.60%,10.80%,50.40%,38.90%,46.80%,32.20%,63.70%,58.00%,77.00%,7.3,14,0.273,0.338,0.466,0.349,116,1.7,3.5
184,32.60%,10.90%,0.221,1.7,22.30%,32.00%,45.60%,12.80%,19.10%,13.50%,44.20%,42.30%,36.70%,16.30%,55.00%,45.00%,85.80%,4.7,9,0.245,0.328,0.466,0.348,114,-3.8,1.1
389,19.50%,5.40%,0.167,4.6,22.60%,43.10%,34.40%,12.10%,10.10%,17.20%,55.00%,27.80%,50.50%,28.20%,71.70%,55.10%,88.10%,9.4,10,0.301,0.339,0.467,0.348,105,-1.6,2.4
350,21.40%,12.30%,0.232,2.7,16.00%,32.00%,52.10%,8.80%,14.00%,14.00%,52.50%,33.50%,45.10%,16.40%,69.70%,45.00%,82.50%,8.9,16,0.228,0.344,0.46,0.348,100,-1,1.9
466,23.40%,3.20%,0.194,3.8,22.90%,41.10%,36.10%,7.30%,17.10%,14.10%,51.00%,34.90%,53.70%,38.40%,69.70%,53.00%,84.30%,1.7,21,0.292,0.315,0.486,0.348,104,1.6,2.1
426,20.90%,16.40%,0.177,3.7,20.40%,35.40%,44.20%,16.50%,12.20%,24.10%,50.40%,25.60%,42.00%,17.80%,65.20%,45.50%,84.00%,9.9,14,0.238,0.37,0.414,0.348,105,-1.2,2.6
402,16.40%,9.70%,0.205,1,22.30%,35.40%,42.30%,9.80%,16.30%,12.70%,52.40%,34.90%,41.50%,27.60%,57.80%,77.60%,89.30%,7.7,20,0.256,0.336,0.461,0.347,122,-3.9,2.8
404,25.00%,13.90%,0.216,1.9,18.20%,38.10%,43.60%,14.60%,15.50%,19.30%,51.90%,28.80%,35.80%,18.00%,53.40%,47.70%,87.80%,7.7,16,0.237,0.348,0.452,0.347,103,-2.1,2
437,25.40%,3.70%,0.208,1.4,16.10%,39.10%,44.70%,11.00%,14.70%,17.40%,46.70%,35.90%,55.10%,39.40%,73.30%,55.60%,80.60%,3.6,20,0.281,0.314,0.489,0.346,114,1,2.8
119,19.30%,14.30%,0.125,1.5,25.00%,43.40%,31.60%,16.70%,12.50%,24.40%,50.00%,25.60%,34.90%,19.70%,49.80%,56.50%,89.10%,-0.3,3,0.271,0.376,0.396,0.345,120,-1.2,0.5
263,24.00%,12.50%,0.196,5.1,18.80%,35.60%,45.60%,8.20%,13.70%,14.80%,54.90%,30.30%,43.70%,26.20%,60.40%,70.30%,76.00%,3.1,10,0.247,0.351,0.443,0.345,109,0.6,1.5
249,18.10%,15.30%,0.101,2.7,25.30%,40.10%,34.60%,12.50%,5.40%,17.70%,59.20%,23.20%,35.70%,20.30%,51.30%,58.30%,90.00%,-2.8,3,0.271,0.387,0.372,0.345,121,0,1.2
