PA,K%,BB%,ISO,Spd,LD%,GB%,FB%,IFFB%,HR/FB,Soft%,Med%,Hard%,Swing% (pi),O-Swing% (pi),Z-Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Def,HR,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR
588,11.70%,7.50%,0.091,1.9,18.90%,45.20%,35.90%,9.10%,4.20%,15.10%,63.20%,21.80%,40.90%,23.50%,56.60%,71.20%,92.90%,17.1,7,0.279,0.346,0.37,0.322,97,-2.8,3.2
152,27.00%,14.50%,0.197,5.8,17.20%,37.90%,44.80%,5.10%,10.30%,8.10%,58.60%,33.30%,39.90%,23.40%,58.30%,50.70%,83.10%,-0.8,4,0.205,0.329,0.402,0.322,88,-1.1,0.1
535,27.70%,12.00%,0.167,2.2,17.90%,46.50%,35.60%,13.50%,18.00%,18.90%,47.60%,33.60%,39.00%,22.40%,56.30%,49.60%,81.30%,2.7,20,0.231,0.335,0.398,0.322,100,-1.7,1.9
399,23.10%,9.00%,0.207,1.3,13.40%,42.50%,44.10%,12.20%,15.70%,19.90%,42.50%,37.60%,51.60%,33.70%,72.10%,55.00%,79.20%,3.9,18,0.222,0.308,0.429,0.322,91,-2,1.1
282,23.80%,7.40%,0.155,1.5,25.30%,42.80%,32.00%,6.50%,12.90%,19.60%,49.50%,30.90%,46.40%,33.10%,63.60%,65.10%,83.70%,2.5,8,0.267,0.319,0.422,0.321,102,-2.8,1
295,15.30%,12.90%,0.063,0.8,27.70%,43.70%,28.60%,3.40%,3.40%,20.40%,60.20%,19.40%,43.30%,22.00%,64.70%,75.80%,91.00%,5.4,2,0.277,0.373,0.34,0.321,100,-0.9,1.5
419,27.20%,5.70%,0.195,2.1,17.40%,48.20%,34.40%,5.30%,16.80%,16.70%,48.90%,34.40%,47.90%,29.70%,66.60%,55.50%,79.80%,5.8,16,0.252,0.303,0.447,0.321,98,-2.6,1.6
304,10.50%,11.50%,0.09,0.8,21.60%,48.30%,30.20%,8.60%,8.60%,26.80%,53.20%,20.00%,39.10%,20.40%,54.00%,79.80%,97.10%,6.9,6,0.267,0.356,0.357,0.321,100,0.5,1.8
378,24.30%,6.60%,0.216,1.9,18.40%,42.00%,39.60%,8.90%,18.80%,15.30%,46.70%,38.00%,43.90%,26.60%,60.30%,51.40%,87.60%,4.1,19,0.237,0.296,0.453,0.321,98,-3.5,1.2
233,14.20%,11.60%,0.085,2.8,21.40%,45.80%,32.70%,7.30%,5.50%,17.90%,48.20%,33.90%,36.80%,18.50%,55.90%,67.70%,94.50%,8.1,3,0.264,0.365,0.348,0.321,98,-0.2,1.5
204,27.50%,15.20%,0.111,4.1,17.10%,59.00%,23.90%,7.10%,10.70%,15.40%,46.20%,38.50%,42.10%,24.30%,61.10%,45.10%,85.80%,1.7,3,0.257,0.368,0.368,0.321,95,0.3,0.7
333,11.40%,9.60%,0.081,1.4,23.10%,55.40%,21.50%,0.00%,5.40%,18.90%,60.40%,20.80%,36.10%,23.40%,49.20%,75.30%,92.90%,2.4,3,0.287,0.36,0.368,0.321,99,-0.9,1.2
101,23.80%,7.90%,0.12,2.6,20.30%,52.20%,27.50%,5.30%,5.30%,18.80%,40.60%,40.60%,46.30%,30.40%,64.50%,66.20%,84.30%,0.5,1,0.283,0.337,0.402,0.321,102,-1.2,0.3
256,21.90%,6.60%,0.142,1.5,22.60%,43.50%,33.90%,8.80%,14.00%,12.20%,63.00%,24.90%,47.60%,30.20%,62.80%,52.20%,89.20%,7.6,8,0.266,0.321,0.408,0.32,97,-1.8,1.3
614,9.60%,4.60%,0.147,4,19.40%,44.40%,36.20%,9.10%,8.00%,12.50%,60.70%,26.80%,47.40%,29.60%,63.40%,77.80%,93.10%,11.3,15,0.274,0.313,0.421,0.32,94,3.6,3.1
107,19.60%,4.70%,0.074,3,27.00%,37.80%,35.10%,3.80%,3.80%,12.70%,74.70%,12.70%,41.10%,25.00%,52.90%,70.50%,89.80%,2.3,1,0.295,0.343,0.368,0.32,95,0,0.5
295,20.70%,10.50%,0.144,2.6,27.50%,42.50%,30.00%,3.30%,10.00%,16.30%,55.90%,27.70%,42.40%,23.10%,63.70%,61.80%,89.70%,-0.6,6,0.257,0.334,0.401,0.32,99,0.4,0.9
381,16.50%,6.00%,0.122,3,21.50%,38.00%,40.50%,7.20%,5.40%,16.30%,58.80%,24.90%,43.80%,23.90%,60.50%,66.00%,88.30%,4.7,6,0.276,0.329,0.398,0.32,89,1.6,1.4
386,30.80%,6.20%,0.215,4.7,21.30%,32.10%,46.70%,10.70%,14.30%,18.80%,47.90%,33.30%,50.30%,34.70%,67.90%,55.20%,79.10%,4.7,16,0.235,0.288,0.45,0.319,95,-0.1,1.6
410,17.10%,5.60%,0.168,2.2,18.90%,50.20%,30.90%,9.20%,13.30%,19.60%,53.90%,26.50%,53.20%,38.10%,70.70%,58.00%,86.80%,2,13,0.267,0.305,0.435,0.319,85,-3.7,0.4
457,26.50%,7.20%,0.159,2.1,25.40%,41.80%,32.80%,9.20%,14.30%,13.00%,47.20%,39.80%,43.80%,29.20%,59.90%,55.30%,84.80%,9.8,14,0.264,0.322,0.423,0.319,91,-3.4,1.6
448,31.00%,8.50%,0.232,2.3,22.80%,30.60%,46.60%,6.40%,20.00%,10.00%,57.00%,33.00%,48.70%,32.90%,67.80%,56.70%,77.60%,5.5,25,0.222,0.288,0.454,0.319,96,0,1.9
137,21.20%,6.60%,0.129,4.4,20.20%,46.80%,33.00%,3.20%,12.90%,12.40%,59.80%,27.80%,41.90%,21.00%,59.00%,53.10%,90.40%,-0.5,4,0.266,0.324,0.395,0.319,96,0.9,0.4
250,26.80%,8.40%,0.203,2.7,14.90%,44.20%,40.90%,9.50%,17.50%,22.20%,55.10%,22.80%,45.90%,30.40%,63.00%,60.10%,79.20%,-0.2,11,0.221,0.3,0.423,0.319,95,-1.6,0.5
172,25.00%,7.00%,0.129,2.9,23.50%,47.00%,29.60%,8.80%,8.80%,12.10%,55.20%,32.80%,48.40%,29.60%,68.00%,62.00%,90.50%,1.6,3,0.277,0.327,0.406,0.319,100,-0.7,0.7
329,22.80%,5.80%,0.156,2.2,16.70%,44.00%,39.30%,5.40%,12.00%,18.80%,44.90%,36.30%,48.80%,32.60%,67.40%,54.60%,82.10%,-6.3,11,0.266,0.31,0.422,0.319,88,-1.4,-0.2
409,14.40%,8.80%,0.124,1.7,16.20%,48.70%,35.10%,12.00%,8.30%,14.90%,50.00%,35.10%,42.60%,26.80%,57.00%,71.90%,87.30%,4.3,9,0.258,0.333,0.382,0.318,90,-2.4,1
393,18.30%,14.20%,0.058,4,19.80%,56.00%,24.10%,1.60%,1.60%,18.50%,54.40%,27.00%,38.10%,20.70%,57.00%,63.70%,86.40%,4.4,1,0.264,0.377,0.322,0.318,98,-0.3,1.6
242,17.40%,8.70%,0.089,3.2,22.50%,49.70%,27.70%,10.40%,4.20%,13.50%,56.70%,29.80%,45.60%,29.10%,61.00%,64.20%,88.10%,4.3,2,0.291,0.351,0.38,0.318,81,-0.6,0.6
429,11.40%,9.80%,0.136,4.4,18.20%,46.20%,35.70%,9.50%,5.20%,14.70%,48.40%,36.90%,39.20%,20.60%,56.90%,70.20%,97.10%,9.8,6,0.259,0.34,0.396,0.318,84,-1,1.4
345,18.60%,4.90%,0.114,5.1,24.90%,47.10%,28.00%,4.10%,6.80%,21.50%,52.10%,26.40%,44.20%,33.10%,55.10%,77.30%,88.30%,9.4,5,0.29,0.33,0.404,0.318,93,-2.6,1.6
129,29.50%,10.90%,0.2,3.4,16.20%,32.40%,51.40%,2.60%,13.20%,18.90%,50.00%,31.10%,45.10%,25.10%,64.90%,40.00%,76.50%,4.1,5,0.209,0.31,0.409,0.318,94,-0.6,0.7
188,32.40%,14.40%,0.141,2.1,23.70%,37.60%,38.70%,8.30%,11.10%,18.20%,46.50%,35.40%,36.90%,23.80%,52.50%,45.60%,73.80%,1.6,4,0.231,0.344,0.372,0.317,93,0.5,0.6
307,21.50%,8.10%,0.168,3.5,19.30%,41.00%,39.60%,14.30%,9.50%,20.90%,46.10%,33.00%,48.50%,27.50%,69.20%,55.40%,88.00%,3.9,8,0.249,0.308,0.418,0.317,101,-4.9,0.9
288,13.20%,13.20%,0.122,2.4,15.40%,44.20%,40.40%,14.30%,7.10%,21.30%,49.30%,29.40%,41.40%,23.70%,57.60%,81.40%,92.40%,4.1,6,0.237,0.34,0.359,0.317,90,-1.5,0.9
445,12.40%,6.30%,0.104,1.6,22.90%,50.60%,26.60%,4.30%,7.40%,19.20%,50.10%,30.70%,49.40%,32.10%,67.90%,77.50%,90.70%,14.4,7,0.282,0.333,0.386,0.317,102,-2.2,2.9
137,14.60%,2.90%,0.14,1.3,16.50%,43.10%,40.40%,6.80%,11.40%,24.30%,49.60%,26.10%,53.60%,36.40%,71.60%,65.90%,85.50%,3.3,5,0.279,0.311,0.419,0.317,84,-0.4,0.4
423,16.10%,9.90%,0.132,3.4,26.20%,46.00%,27.80%,4.80%,8.30%,16.50%,50.30%,33.20%,47.60%,30.60%,66.00%,65.30%,90.60%,14.9,7,0.27,0.347,0.403,0.317,92,-3.5,2
474,26.20%,9.50%,0.183,1,18.80%,40.90%,40.30%,14.20%,14.20%,18.70%,50.20%,31.10%,38.90%,20.70%,56.30%,32.50%,84.30%,13.1,17,0.228,0.31,0.411,0.317,94,-5.7,2
317,13.20%,10.40%,0.064,3.5,18.50%,47.30%,34.20%,5.30%,0.00%,20.80%,55.50%,23.70%,40.80%,18.20%,58.80%,66.70%,90.50%,1.8,0,0.271,0.359,0.335,0.317,92,0.4,1
105,12.40%,3.80%,0.139,3.8,19.30%,48.90%,31.80%,10.70%,7.10%,20.50%,48.90%,30.70%,52.80%,39.00%,65.80%,79.10%,92.60%,-1.5,2,0.287,0.314,0.426,0.316,98,-1.6,0
245,36.30%,6.50%,0.192,4.4,20.90%,34.90%,44.20%,7.00%,14.00%,9.90%,54.60%,35.60%,46.30%,27.80%,64.70%,34.40%,77.70%,5.5,8,0.233,0.309,0.425,0.316,97,0.2,1.3
311,20.90%,9.60%,0.144,3.1,23.50%,44.10%,32.40%,7.20%,10.10%,17.60%,55.60%,26.90%,47.60%,28.10%,68.80%,62.80%,83.20%,2.7,7,0.249,0.32,0.394,0.316,101,-0.1,1.4
155,23.20%,9.00%,0.2,1.4,18.10%,38.10%,43.80%,10.90%,15.20%,22.90%,56.20%,21.00%,41.10%,21.40%,62.40%,63.80%,88.20%,4,7,0.229,0.297,0.429,0.316,91,-1.5,0.6
391,22.80%,6.60%,0.162,3.3,28.20%,37.60%,34.20%,8.80%,14.30%,15.70%,46.10%,38.20%,50.40%,35.20%,66.40%,58.90%,87.70%,6.8,13,0.253,0.318,0.415,0.316,94,-1.8,1.5
126,25.40%,8.70%,0.153,1.4,18.10%,36.10%,45.80%,24.20%,12.10%,21.50%,50.60%,27.90%,41.30%,22.80%,57.90%,44.20%,89.00%,3.8,4,0.234,0.32,0.387,0.316,97,-0.3,0.7
543,13.60%,5.20%,0.166,3.9,20.40%,42.20%,37.40%,11.00%,11.00%,16.50%,47.10%,36.40%,52.60%,38.40%,67.60%,76.10%,86.00%,12.6,18,0.273,0.312,0.439,0.316,94,-5.1,2.1
485,19.60%,10.90%,0.192,3.1,19.40%,47.80%,32.70%,9.40%,19.80%,14.90%,55.30%,29.80%,41.30%,19.00%,61.50%,54.30%,86.50%,6.6,21,0.211,0.311,0.403,0.316,95,-0.9,2
304,21.40%,10.50%,0.121,2.9,20.60%,52.30%,27.10%,3.70%,9.30%,12.90%,54.20%,32.80%,41.30%,24.90%,57.60%,58.00%,85.10%,3.5,5,0.249,0.342,0.37,0.315,93,-1.1,0.9
500,6.60%,4.60%,0.119,1.3,20.90%,50.60%,28.50%,7.30%,6.50%,20.70%,57.20%,22.10%,55.50%,40.80%,71.70%,80.50%,96.30%,2.9,8,0.287,0.323,0.405,0.315,92,-5.3,1
506,21.30%,11.50%,0.151,3.1,16.60%,50.80%,32.60%,13.00%,13.90%,16.00%,51.50%,32.50%,39.20%,21.40%,56.10%,53.80%,85.40%,22.7,15,0.226,0.327,0.377,0.315,102,-1.5,4.1
197,25.40%,12.20%,0.172,2,12.30%,46.70%,41.00%,14.00%,14.00%,18.00%,45.90%,36.10%,41.50%,26.70%,57.40%,71.10%,86.10%,-4.4,7,0.219,0.315,0.391,0.315,100,-1.4,0.1
407,26.50%,11.10%,0.146,1.5,24.60%,41.90%,33.50%,9.60%,12.00%,14.00%,50.00%,36.00%,44.50%,25.10%,64.30%,55.80%,78.20%,7.8,10,0.242,0.333,0.388,0.315,93,-2.3,1.6
128,17.20%,4.70%,0.1,1.5,16.70%,41.70%,41.70%,7.50%,7.50%,18.00%,64.00%,18.00%,51.30%,32.90%,68.60%,62.90%,87.70%,5,3,0.292,0.325,0.392,0.315,82,-0.2,0.6
517,10.30%,2.90%,0.157,0.9,19.10%,37.00%,43.90%,10.20%,9.70%,18.80%,52.10%,29.10%,50.60%,34.00%,65.30%,74.80%,91.90%,9.5,19,0.276,0.298,0.433,0.315,85,-6.1,1
570,12.50%,3.30%,0.135,2.6,17.90%,44.00%,38.10%,10.70%,7.30%,18.60%,54.50%,26.90%,57.40%,44.30%,72.90%,76.20%,91.60%,6.5,13,0.281,0.312,0.416,0.315,85,-5.4,1
520,14.60%,6.20%,0.121,2.2,24.10%,39.90%,36.00%,10.10%,8.10%,16.10%,57.40%,26.50%,46.10%,32.60%,60.20%,72.80%,91.00%,6,12,0.274,0.317,0.395,0.315,99,-3.6,2.1
289,26.30%,9.70%,0.168,4.6,21.50%,31.50%,47.00%,14.10%,9.40%,17.40%,51.60%,31.00%,44.60%,25.20%,62.40%,43.10%,88.30%,0.8,8,0.238,0.313,0.406,0.315,96,0.9,1
191,11.00%,7.30%,0.092,2.8,23.30%,40.00%,36.70%,12.70%,3.60%,23.20%,54.80%,21.90%,40.20%,22.30%,56.00%,79.20%,93.20%,1.6,2,0.282,0.337,0.374,0.314,95,0.4,0.8
265,9.40%,7.20%,0.111,0.8,18.60%,39.50%,41.80%,8.70%,2.20%,22.30%,47.70%,30.00%,47.60%,26.40%,68.60%,76.40%,89.60%,0.9,2,0.276,0.328,0.387,0.314,81,-3.5,0
128,14.10%,10.90%,0.046,0.4,15.60%,52.20%,32.20%,13.80%,0.00%,27.40%,48.40%,24.20%,37.20%,23.30%,50.00%,71.40%,94.60%,1.8,0,0.278,0.363,0.324,0.314,96,-2.1,0.3
429,15.60%,5.40%,0.118,5.4,20.20%,56.00%,23.80%,2.50%,8.90%,17.00%,57.40%,25.60%,58.20%,41.60%,73.50%,68.70%,88.00%,6.7,7,0.276,0.319,0.394,0.313,87,-1.2,1.3
415,15.40%,8.70%,0.127,3.8,25.90%,44.70%,29.40%,7.60%,7.60%,14.70%,50.30%,35.00%,43.40%,30.30%,56.10%,71.50%,93.90%,4.8,7,0.264,0.326,0.391,0.313,95,-4.5,1.1
223,21.50%,13.50%,0.186,3,13.50%,41.10%,45.40%,9.40%,14.10%,18.40%,50.40%,31.20%,44.80%,21.70%,67.10%,55.50%,84.80%,-0.9,9,0.197,0.318,0.383,0.313,78,-1.3,-0.1
421,15.20%,7.60%,0.174,3.6,19.60%,41.70%,38.60%,11.30%,10.50%,20.40%,46.10%,33.40%,48.00%,26.10%,68.20%,69.10%,87.80%,0.6,13,0.242,0.302,0.416,0.313,102,-2.7,1.3
396,10.90%,8.60%,0.093,1.3,18.80%,46.00%,35.10%,7.30%,5.50%,16.10%,55.70%,28.20%,48.00%,26.20%,66.50%,77.60%,88.60%,15.1,6,0.275,0.34,0.368,0.313,86,-6.7,1.4
529,14.40%,2.10%,0.153,2.1,22.40%,42.50%,35.10%,6.60%,11.20%,21.00%,49.40%,29.60%,60.20%,47.90%,75.10%,74.90%,89.40%,6.6,17,0.272,0.297,0.425,0.313,90,-4.9,1.4
230,23.00%,9.10%,0.137,5.7,23.40%,47.60%,29.00%,4.80%,7.10%,16.70%,62.20%,21.20%,46.00%,32.10%,60.90%,64.60%,85.40%,6.5,3,0.259,0.327,0.395,0.312,77,2,0.9
255,23.90%,6.70%,0.155,2.3,19.60%,39.30%,41.10%,7.20%,10.10%,11.60%,50.90%,37.60%,46.20%,32.40%,61.90%,62.50%,81.60%,2.3,7,0.249,0.31,0.403,0.312,100,-1.7,1
331,10.30%,10.00%,0.105,2.5,19.10%,49.40%,31.50%,16.00%,6.20%,19.50%,51.30%,29.10%,41.90%,22.70%,60.60%,69.60%,91.00%,-0.8,5,0.258,0.336,0.362,0.312,84,-3.1,0
165,23.00%,10.90%,0.177,4,19.20%,41.30%,39.40%,12.20%,14.60%,22.10%,49.00%,28.90%,48.30%,32.50%,65.80%,57.90%,85.10%,1.4,6,0.213,0.321,0.39,0.312,88,0,0.4
309,24.90%,5.80%,0.118,4.9,26.70%,45.70%,27.60%,12.10%,8.60%,20.70%,52.60%,26.80%,47.00%,31.40%,63.70%,59.80%,89.70%,5.9,5,0.274,0.319,0.392,0.312,93,0.8,1.5
443,16.50%,7.70%,0.121,3,17.70%,53.10%,29.20%,10.60%,8.50%,17.60%,55.20%,27.30%,42.40%,25.10%,60.90%,58.20%,91.10%,8,8,0.255,0.323,0.376,0.311,75,-2.3,0.6
243,10.70%,2.50%,0.1,1.4,19.90%,51.90%,28.20%,8.60%,6.90%,15.80%,60.80%,23.40%,46.30%,29.60%,63.50%,73.70%,94.70%,0.6,4,0.297,0.315,0.397,0.311,94,-5.9,0.1
457,33.00%,13.30%,0.141,1.5,25.00%,44.60%,30.40%,2.70%,15.10%,9.90%,50.40%,39.70%,40.80%,20.40%,62.30%,37.10%,78.30%,15.3,11,0.218,0.327,0.359,0.311,98,-8.9,2.2
298,7.70%,6.00%,0.059,0.9,20.60%,44.40%,34.90%,8.00%,1.10%,12.70%,63.90%,23.40%,42.50%,27.60%,55.70%,86.10%,93.90%,2.2,1,0.294,0.346,0.353,0.311,87,-2.4,0.5
154,17.50%,7.80%,0.037,1,29.60%,39.80%,30.60%,15.20%,0.00%,28.60%,52.70%,18.80%,38.60%,23.00%,52.90%,64.50%,92.40%,4.9,0,0.294,0.362,0.331,0.311,100,-0.6,1
481,10.60%,9.60%,0.106,3.1,18.60%,53.50%,27.90%,9.50%,5.70%,20.50%,57.20%,22.30%,41.60%,26.60%,54.40%,78.60%,95.20%,9,6,0.265,0.345,0.371,0.311,82,-2.8,1.2
507,12.20%,6.30%,0.149,1.6,19.70%,47.20%,33.20%,8.90%,11.10%,14.20%,53.70%,32.10%,46.30%,28.20%,63.50%,73.80%,90.40%,5.2,15,0.257,0.308,0.406,0.311,84,-3.4,0.9
538,18.40%,8.90%,0.148,2.2,19.50%,47.40%,33.10%,7.80%,10.90%,14.10%,52.80%,33.10%,45.50%,30.50%,62.50%,57.50%,87.00%,-12.9,14,0.247,0.314,0.396,0.311,94,-0.7,0
153,36.60%,7.80%,0.199,3.6,17.70%,53.20%,29.10%,26.10%,30.40%,28.40%,46.90%,24.70%,49.90%,31.10%,68.40%,48.00%,75.60%,7.9,7,0.213,0.296,0.412,0.311,91,0,1.2
486,27.40%,7.40%,0.219,3.3,15.70%,34.50%,49.80%,13.50%,14.70%,20.80%,48.20%,31.00%,50.10%,33.90%,66.40%,56.50%,82.80%,-2,23,0.219,0.282,0.438,0.311,91,-2.8,0.6
468,21.20%,6.20%,0.126,2.6,24.20%,41.80%,33.90%,14.30%,10.70%,22.80%,56.80%,20.40%,42.90%,30.30%,54.50%,70.50%,90.60%,2.9,12,0.265,0.313,0.391,0.311,92,0.4,1.5
494,16.00%,6.70%,0.127,2.3,17.20%,46.70%,36.10%,2.90%,8.00%,19.70%,51.10%,29.20%,45.70%,30.20%,60.80%,73.10%,85.50%,8.3,11,0.263,0.314,0.389,0.311,83,-2.5,1.1
339,15.90%,3.80%,0.208,1.5,14.40%,19.40%,66.20%,12.10%,9.80%,25.00%,48.10%,26.90%,53.10%,43.40%,62.90%,63.00%,90.70%,4.3,17,0.24,0.284,0.447,0.311,93,-2.4,1
210,30.00%,10.00%,0.187,1.2,22.80%,37.40%,39.80%,8.20%,18.40%,14.40%,52.00%,33.60%,38.20%,19.10%,57.20%,37.40%,82.80%,4.9,9,0.219,0.301,0.406,0.311,96,0.3,1.2
389,19.80%,12.90%,0.163,2.1,18.10%,40.50%,41.30%,6.50%,10.30%,7.70%,57.10%,35.10%,40.50%,19.00%,61.20%,48.20%,87.90%,8.6,11,0.218,0.321,0.381,0.311,81,-3.5,0.9
108,16.70%,16.70%,0.125,1.6,23.90%,47.90%,28.20%,5.00%,5.00%,11.30%,53.50%,35.20%,43.30%,26.10%,62.40%,72.20%,84.50%,1.9,1,0.216,0.352,0.341,0.31,100,0.5,0.6
232,21.60%,11.20%,0.147,0.9,16.10%,40.60%,43.20%,10.40%,9.00%,18.00%,55.10%,26.90%,44.80%,30.00%,59.90%,52.50%,87.20%,7.9,6,0.235,0.32,0.382,0.31,94,-2.8,1.1
106,21.70%,7.50%,0.188,1.4,12.50%,40.30%,47.20%,11.80%,11.80%,21.60%,48.70%,29.70%,49.90%,34.70%,62.40%,72.10%,86.50%,1.6,4,0.229,0.288,0.417,0.31,94,0.5,0.5
237,29.50%,5.90%,0.179,1.3,25.00%,35.80%,39.20%,5.20%,17.20%,13.30%,50.70%,36.00%,55.00%,39.60%,71.00%,54.60%,77.60%,7.6,10,0.252,0.305,0.431,0.31,91,-2.9,1
338,21.00%,5.00%,0.176,1.7,20.90%,41.90%,37.20%,10.30%,14.90%,20.20%,49.80%,30.00%,47.70%,30.10%,64.10%,61.00%,88.00%,13.8,13,0.239,0.29,0.415,0.31,93,-0.3,2.4
384,13.80%,10.90%,0.11,0.6,25.70%,53.20%,21.10%,10.00%,15.00%,16.00%,63.20%,20.80%,47.60%,30.00%,66.50%,62.40%,89.10%,5.5,9,0.257,0.339,0.367,0.31,86,-4.2,0.7
293,10.60%,12.60%,0.068,1.5,24.20%,48.40%,27.40%,6.70%,5.00%,10.30%,66.40%,23.30%,36.10%,20.60%,50.30%,77.20%,93.40%,10.4,3,0.263,0.361,0.331,0.31,83,-3.3,1
379,29.60%,11.60%,0.148,1.9,28.00%,42.20%,29.80%,0.00%,16.90%,7.20%,56.80%,36.00%,41.40%,22.00%,59.90%,36.50%,84.60%,-3.3,11,0.227,0.317,0.376,0.31,92,-0.9,0.5
419,15.50%,4.80%,0.126,2.1,25.00%,47.90%,27.10%,8.90%,7.80%,24.30%,54.80%,21.00%,46.50%,29.00%,61.70%,62.20%,88.10%,4.8,7,0.273,0.306,0.399,0.31,86,-4.8,0.7
250,17.60%,13.20%,0.193,3.8,12.20%,43.00%,44.80%,6.50%,11.70%,22.50%,48.60%,28.90%,37.20%,19.00%,54.30%,66.70%,88.30%,0.9,9,0.203,0.305,0.396,0.309,88,-2.1,0.3
294,10.90%,8.20%,0.086,1.3,22.40%,44.70%,32.90%,12.80%,2.60%,16.00%,59.90%,24.10%,45.00%,32.70%,59.40%,80.10%,90.50%,4.6,2,0.278,0.337,0.365,0.309,86,-2.5,0.7
141,24.80%,5.70%,0.159,4.8,12.10%,46.20%,41.80%,15.80%,10.50%,31.90%,51.10%,17.00%,48.40%,32.90%,65.10%,65.20%,81.80%,3,4,0.238,0.299,0.397,0.309,92,-0.4,0.6
557,23.50%,6.30%,0.153,3.9,17.40%,41.60%,41.00%,9.50%,8.90%,21.30%,49.90%,28.80%,45.00%,26.90%,61.50%,53.40%,90.00%,7.7,14,0.25,0.305,0.404,0.309,98,-0.9,2.4
509,13.00%,4.90%,0.14,1.9,17.70%,43.50%,38.80%,13.30%,8.90%,22.40%,49.80%,27.80%,57.90%,40.50%,75.80%,71.80%,87.40%,9.1,14,0.263,0.309,0.403,0.309,81,-6.2,0.8
588,13.60%,11.70%,0.079,3.3,20.50%,48.80%,30.70%,14.60%,5.40%,16.60%,56.10%,27.30%,40.00%,20.40%,57.00%,57.90%,91.00%,5.2,7,0.25,0.352,0.329,0.309,87,-3,1.2
317,25.90%,2.20%,0.19,4.2,17.40%,38.40%,44.20%,21.20%,12.10%,23.10%,48.00%,28.90%,62.00%,45.90%,80.00%,50.80%,79.00%,3.1,12,0.255,0.278,0.444,0.309,83,-0.6,0.6
442,36.00%,5.70%,0.155,2.1,23.70%,47.80%,28.50%,11.30%,21.10%,19.20%,49.60%,31.20%,50.50%,33.30%,67.60%,51.40%,75.00%,7.2,15,0.241,0.297,0.396,0.308,96,-3.3,1.8
337,21.10%,6.50%,0.2,0.6,18.10%,20.70%,61.20%,16.60%,11.00%,30.50%,46.00%,23.40%,51.80%,40.10%,63.90%,61.80%,85.50%,8.1,16,0.23,0.287,0.43,0.308,97,-2.5,1.5
520,13.10%,2.50%,0.177,1.6,16.80%,30.60%,52.50%,11.40%,8.80%,16.60%,54.80%,28.60%,58.30%,43.10%,75.40%,74.90%,87.30%,2.6,20,0.265,0.285,0.442,0.308,86,-7.1,0.3
376,15.70%,6.10%,0.198,1.6,16.80%,42.10%,41.10%,12.50%,13.30%,15.40%,52.10%,32.50%,52.20%,32.40%,71.00%,62.20%,85.00%,2.5,16,0.244,0.293,0.443,0.308,91,-2,0.8
515,18.60%,1.70%,0.139,3.1,19.40%,52.50%,28.20%,6.10%,9.60%,14.40%,51.60%,34.00%,63.30%,51.60%,75.50%,71.20%,83.90%,11.9,11,0.281,0.294,0.42,0.308,82,-3.1,1.5
258,10.90%,4.70%,0.159,2.2,13.30%,50.50%,36.20%,13.20%,11.80%,19.70%,58.20%,22.10%,45.70%,26.40%,63.60%,64.00%,95.20%,12,9,0.247,0.296,0.406,0.308,86,-1.5,1.5
546,21.80%,4.00%,0.191,2,18.40%,34.50%,47.10%,15.50%,11.80%,22.20%,44.10%,33.80%,55.10%,45.90%,67.80%,65.90%,91.00%,14.7,22,0.247,0.288,0.438,0.308,89,-4.1,2.3
377,16.20%,4.50%,0.16,1.7,17.50%,37.00%,45.50%,12.00%,8.30%,21.20%,51.00%,27.70%,52.80%,39.30%,66.90%,67.50%,88.90%,12.6,11,0.249,0.294,0.41,0.308,84,-4.4,1.4
560,17.30%,10.00%,0.127,1,20.80%,46.10%,33.20%,6.10%,9.90%,17.10%,50.50%,32.40%,49.00%,31.60%,67.50%,66.20%,87.40%,5.5,13,0.243,0.329,0.37,0.307,89,-5.4,1.1
425,21.20%,12.70%,0.181,1,15.50%,37.40%,47.10%,16.00%,10.70%,17.30%,55.00%,27.70%,43.70%,28.70%,59.40%,58.90%,82.90%,4.2,14,0.209,0.313,0.39,0.307,77,-4.4,0.2
383,25.80%,8.10%,0.167,1.4,17.40%,40.70%,41.90%,11.90%,13.90%,21.70%,49.20%,29.10%,52.20%,36.30%,69.40%,56.20%,82.90%,10.3,14,0.232,0.309,0.399,0.307,87,0.3,1.8
464,18.30%,6.90%,0.165,2.5,24.20%,36.30%,39.50%,12.70%,12.70%,20.20%,46.80%,33.00%,50.90%,35.50%,69.20%,68.40%,85.00%,8.2,17,0.243,0.302,0.409,0.307,89,-0.5,1.8
224,16.10%,4.50%,0.188,0.5,17.70%,52.00%,30.30%,11.30%,20.80%,22.30%,44.60%,33.10%,55.90%,41.40%,71.50%,65.60%,89.00%,2.2,11,0.26,0.29,0.447,0.307,92,-3.1,0.4
386,12.20%,9.80%,0.076,0.8,24.60%,49.50%,25.90%,6.60%,3.90%,21.60%,60.60%,17.90%,43.10%,26.10%,60.00%,80.90%,91.80%,2,3,0.268,0.345,0.344,0.307,94,-4.7,0.7
192,19.80%,6.30%,0.131,2,25.40%,50.70%,23.90%,3.10%,9.40%,24.80%,47.50%,27.70%,46.70%,31.70%,61.60%,59.50%,93.00%,2.7,3,0.261,0.312,0.392,0.306,88,-2.6,0.4
